product_name,product_manufacture,series_number,retail_loc,order_id,amount,buyer_name,buyer_id,buyer_loc,purchase_time,payment_method
ProductB,MfctA,SeRIeSNUmB,loc,123,49,BuyerC,dsgdsfgswe,locA,12-Apr,pmC
ProductC,MfctB,SeRIeSNUmC,loc,124,24,BuyerA,vxcasfd,locB,29-Mar,pmA
ProductC,MfctB,SeRIeSNUmC,loc,125,84,BuyerI,zxcvrgafs,loc,23-Apr,pm
ProductC,MfctB,SeRIeSNUmC,loc,126,57,BuyerI,zxcvrgafs,loc,12-Feb,pm
ProductC,MfctB,SeRIeSNUmC,loc,127,235,BuyerC,dsgdsfgswe,locA,11-Feb,pmC
ProductC,MfctB,SeRIeSNUmC,loc,128,68,BuyerB,aerhdgsdf,locA,14-Mar,pmB
ProductC,MfctB,SeRIeSNUmC,loc,129,99,BuyerJ,asdavzxcz,loc,12-Feb,pm
ProductC,MfctB,SeRIeSNUmC,loc,130,43,BuyerJ,asdavzxcz,loc,23-Jan,pm
ProductD,MfctC,SeRIeSNUmD,loc,131,5,BuyerG,vdzhsfg,loc,17-Apr,pm
ProductD,MfctC,SeRIeSNUmD,loc,132,7,BuyerG,vdzhsfg,loc,16-Feb,pm
ProductD,MfctC,SeRIeSNUmD,loc,133,74,BuyerL,asdassweqt,loc,22-Jan,pm
ProductD,MfctC,SeRIeSNUmD,loc,134,745,BuyerF,dfacxbn,loc,12-Jan,pm
ProductD,MfctC,SeRIeSNUmD,loc,135,775,BuyerI,zxcvrgafs,loc,25-Apr,pm
ProductD,MfctC,SeRIeSNUmD,loc,136,78,BuyerJ,asdavzxcz,loc,26-Mar,pm
ProductD,MfctC,SeRIeSNUmD,loc,137,96,BuyerH,sdgsfvcxzx,loc,24-Mar,pm
ProductD,MfctC,SeRIeSNUmD,loc,138,79,BuyerC,dsgdsfgswe,locA,12-Jan,pmC
ProductD,MfctC,SeRIeSNUmD,loc,139,679,BuyerL,asdassweqt,loc,12-Jan,pm
ProductD,MfctC,SeRIeSNUmD,loc,140,36,BuyerH,sdgsfvcxzx,loc,12-Aug,pm
ProductD,MfctC,SeRIeSNUmD,loc,141,25,BuyerC,dsgdsfgswe,locA,04-Feb,pmC
ProductD,MfctC,SeRIeSNUmD,loc,142,235,BuyerJ,asdavzxcz,loc,15-Feb,pm
ProductD,MfctC,SeRIeSNUmD,loc,143,475,BuyerG,vdzhsfg,loc,12-Feb,pm
ProductD,MfctC,SeRIeSNUmD,loc,144,452,BuyerH,sdgsfvcxzx,loc,16-Apr,pm
ProductD,MfctC,SeRIeSNUmD,loc,145,2,BuyerL,asdassweqt,loc,11-Feb,pm
ProductD,MfctC,SeRIeSNUmD,loc,146,235,BuyerF,dfacxbn,loc,12-Mar,pm
ProductD,MfctC,SeRIeSNUmD,loc,147,3,BuyerL,asdassweqt,loc,17-Jan,pm
ProductD,MfctC,SeRIeSNUmD,loc,148,32,BuyerI,zxcvrgafs,loc,02-Feb,pm
ProductD,MfctC,SeRIeSNUmD,loc,149,523,BuyerL,asdassweqt,loc,03-Mar,pm
ProductD,MfctC,SeRIeSNUmD,loc,150,66,BuyerJ,asdavzxcz,loc,04-Apr,pm
ProductD,MfctC,SeRIeSNUmD,loc,151,463,BuyerA,vxcasfd,locB,02-Jan,pmA
ProductD,MfctC,SeRIeSNUmD,loc,152,34,BuyerI,zxcvrgafs,loc,01-Jun,pm
ProductD,MfctC,SeRIeSNUmD,loc,153,116,BuyerH,sdgsfvcxzx,loc,30-Apr,pm
ProductD,MfctC,SeRIeSNUmD,loc,154,63,BuyerH,sdgsfvcxzx,loc,31-Jan,pm
ProductD,MfctC,SeRIeSNUmD,loc,155,46,BuyerL,asdassweqt,loc,23-Jan,pm
ProductD,MfctC,SeRIeSNUmD,loc,156,68,BuyerE,szffgshwsgsf,loc,28-Feb,pmE
ProductE,MfctC,SeRIeSNUmE,loc,157,23,BuyerH,sdgsfvcxzx,loc,19-Mar,pm
ProductE,MfctC,SeRIeSNUmE,loc,158,3,BuyerA,vxcasfd,locA,15-Jan,pmA
ProductE,MfctC,SeRIeSNUmE,loc,159,7,BuyerB,aerhdgsdf,locA,17-Feb,pmB
ProductE,MfctC,SeRIeSNUmE,loc,160,4,BuyerL,asdassweqt,loc,05-Feb,pm
ProductE,MfctC,SeRIeSNUmE,loc,161,536,BuyerH,sdgsfvcxzx,loc,12-Apr,pm
ProductE,MfctC,SeRIeSNUmE,loc,162,346,BuyerE,szffgshwsgsf,loc,11-Jan,pmE
ProductE,MfctC,SeRIeSNUmE,loc,163,34,BuyerF,dfacxbn,loc,27-Mar,pm
ProductE,MfctC,SeRIeSNUmE,loc,164,67,BuyerA,vxcasfd,locA,12-Jan,pmA
ProductE,MfctC,SeRIeSNUmE,loc,165,27,BuyerI,zxcvrgafs,loc,01-May,pm
ProductE,MfctC,SeRIeSNUmE,loc,166,246,BuyerJ,asdavzxcz,loc,14-Feb,pm
ProductE,MfctC,SeRIeSNUmE,loc,167,83,BuyerG,vdzhsfg,loc,17-Feb,pm
ProductE,MfctC,SeRIeSNUmE,loc,168,75,BuyerF,dfacxbn,loc,15-Mar,pm
ProductE,MfctC,SeRIeSNUmE,loc,169,2,BuyerJ,asdavzxcz,loc,16-Feb,pm
ProductE,MfctC,SeRIeSNUmE,loc,170,88,BuyerI,zxcvrgafs,loc,12-May,pm
ProductF,MfctD,SeRIeSNUmF,loc,171,2,BuyerJ,asdavzxcz,loc,11-Jan,pm
ProductF,MfctD,SeRIeSNUmF,loc,172,8,BuyerG,vdzhsfg,loc,14-Feb,pm
ProductF,MfctD,SeRIeSNUmF,loc,173,26,BuyerC,dsgdsfgswe,locA,16-Mar,pmC
ProductF,MfctD,SeRIeSNUmF,loc,174,884,BuyerF,dfacxbn,loc,23-Jan,pm
ProductF,MfctD,SeRIeSNUmF,loc,175,56,BuyerC,dsgdsfgswe,locB,17-Mar,pmC
ProductF,MfctD,SeRIeSNUmF,loc,176,84,BuyerL,asdassweqt,loc,11-Mar,pm
ProductF,MfctD,SeRIeSNUmF,loc,177,96,BuyerG,vdzhsfg,loc,01-Feb,pm
ProductF,MfctD,SeRIeSNUmF,loc,178,63,BuyerF,dfacxbn,loc,03-Mar,pm
ProductF,MfctD,SeRIeSNUmF,loc,179,44,BuyerL,asdassweqt,loc,11-Apr,pm
ProductF,MfctD,SeRIeSNUmF,loc,180,745,BuyerE,szffgshwsgsf,loc,30-Mar,pmE
ProductF,MfctD,SeRIeSNUmF,loc,181,6,BuyerG,vdzhsfg,loc,03-Jan,pm
ProductF,MfctD,SeRIeSNUmF,loc,182,453,BuyerL,asdassweqt,loc,12-Jan,pm
ProductF,MfctD,SeRIeSNUmF,loc,183,43,BuyerC,dsgdsfgswe,locB,21-Apr,pmC
ProductF,MfctD,SeRIeSNUmF,loc,184,737,BuyerD,ghstdjreras,locB,24-Jan,pmD
ProductF,MfctD,SeRIeSNUmF,loc,185,57,BuyerD,ghstdjreras,locB,23-Jan,pmD
ProductF,MfctD,SeRIeSNUmF,loc,186,96,BuyerD,ghstdjreras,locB,05-Apr,pmD
ProductF,MfctD,SeRIeSNUmF,loc,187,74,BuyerL,asdassweqt,loc,15-Feb,pm
ProductF,MfctD,SeRIeSNUmF,loc,188,45,BuyerF,dfacxbn,loc,30-Apr,pm
ProductF,MfctD,SeRIeSNUmF,loc,189,7,BuyerJ,asdavzxcz,loc,20-Jan,pm
ProductF,MfctD,SeRIeSNUmF,loc,190,346,BuyerL,asdassweqt,loc,13-Apr,pm
ProductF,MfctD,SeRIeSNUmF,loc,191,47,BuyerG,vdzhsfg,loc,22-Feb,pm
ProductF,MfctD,SeRIeSNUmF,loc,192,3,BuyerL,asdassweqt,loc,20-Apr,pm
ProductF,MfctD,SeRIeSNUmF,loc,193,25,BuyerL,asdassweqt,loc,30-Apr,pm
ProductF,MfctD,SeRIeSNUmF,loc,194,133,BuyerE,szffgshwsgsf,loc,13-Feb,pmE
ProductF,MfctD,SeRIeSNUmF,loc,195,161,BuyerH,sdgsfvcxzx,loc,12-May,pm
ProductF,MfctD,SeRIeSNUmF,loc,196,135,BuyerI,zxcvrgafs,loc,23-May,pm
ProductF,MfctD,SeRIeSNUmF,loc,197,16,BuyerL,asdassweqt,loc,23-Feb,pm
ProductF,MfctD,SeRIeSNUmF,loc,198,83,BuyerD,ghstdjreras,locB,15-Feb,pmD
ProductF,MfctD,SeRIeSNUmF,loc,199,51,BuyerG,vdzhsfg,loc,11-Feb,pm
ProductF,MfctD,SeRIeSNUmF,loc,200,637,BuyerI,zxcvrgafs,loc,23-Jan,pm
ProductF,MfctD,SeRIeSNUmF,loc,201,53,BuyerL,asdassweqt,loc,10-Apr,pm
ProductF,MfctD,SeRIeSNUmF,loc,202,357,BuyerL,asdassweqt,loc,19-Feb,pm
ProductF,MfctD,SeRIeSNUmF,loc,203,235,BuyerE,szffgshwsgsf,loc,15-Mar,pmE
ProductF,MfctD,SeRIeSNUmF,loc,204,752,BuyerI,zxcvrgafs,loc,26-Mar,pm
ProductF,MfctD,SeRIeSNUmF,loc,205,23,BuyerL,asdassweqt,loc,28-Mar,pm
ProductF,MfctD,SeRIeSNUmF,loc,206,15,BuyerI,zxcvrgafs,loc,27-Jan,pm
ProductF,MfctD,SeRIeSNUmF,loc,207,616,BuyerE,szffgshwsgsf,loc,23-Mar,pmE
ProductF,MfctD,SeRIeSNUmF,loc,208,634,BuyerG,vdzhsfg,loc,31-Jan,pm
ProductF,MfctD,SeRIeSNUmF,loc,209,167,BuyerF,dfacxbn,loc,27-Apr,pm
ProductF,MfctD,SeRIeSNUmF,loc,210,15,BuyerB,aerhdgsdf,locB,16-Feb,pmB
ProductF,MfctD,SeRIeSNUmF,loc,211,37,BuyerG,vdzhsfg,loc,24-Apr,pm
ProductF,MfctD,SeRIeSNUmF,loc,212,35,BuyerG,vdzhsfg,loc,28-Mar,pm
ProductF,MfctD,SeRIeSNUmF,loc,213,236,BuyerE,szffgshwsgsf,loc,22-Jan,pmE
ProductF,MfctD,SeRIeSNUmF,loc,214,236,BuyerG,vdzhsfg,loc,23-Mar,pm
ProductF,MfctD,SeRIeSNUmF,loc,215,12,BuyerL,asdassweqt,loc,12-May,pm
ProductF,MfctD,SeRIeSNUmF,loc,216,151,BuyerE,szffgshwsgsf,loc,11-Jan,pmE
ProductF,MfctD,SeRIeSNUmF,loc,217,35,BuyerE,szffgshwsgsf,loc,11-Mar,pmE
ProductF,MfctD,SeRIeSNUmF,loc,218,76,BuyerE,szffgshwsgsf,loc,11-Apr,pmE
ProductF,MfctD,SeRIeSNUmF,loc,219,32,BuyerK,zxzxczba,loc,12-Jan,pm
ProductF,MfctD,SeRIeSNUmF,loc,220,125,BuyerF,dfacxbn,loc,15-Feb,pm
ProductF,MfctD,SeRIeSNUmF,loc,221,78,BuyerC,dsgdsfgswe,locB,20-Jan,pmC
ProductF,MfctD,SeRIeSNUmF,loc,222,35,BuyerF,dfacxbn,loc,13-Apr,pm
ProductF,MfctD,SeRIeSNUmF,loc,223,936,BuyerI,zxcvrgafs,loc,20-Apr,pm
ProductF,MfctD,SeRIeSNUmF,loc,224,88,BuyerG,vdzhsfg,loc,30-Apr,pm
ProductF,MfctD,SeRIeSNUmF,loc,225,236,BuyerK,zxzxczba,loc,23-May,pm
ProductF,MfctD,SeRIeSNUmF,loc,226,231,BuyerF,dfacxbn,loc,23-Feb,pm
ProductF,MfctD,SeRIeSNUmF,loc,227,13,BuyerF,dfacxbn,loc,23-Jan,pm
ProductF,MfctD,SeRIeSNUmF,loc,228,4,BuyerK,zxzxczba,loc,10-Apr,pm
ProductF,MfctD,SeRIeSNUmF,loc,229,35,BuyerK,zxzxczba,loc,19-Feb,pm
ProductF,MfctD,SeRIeSNUmF,loc,230,62,BuyerB,aerhdgsdf,locB,20-Apr,pmB
ProductF,MfctD,SeRIeSNUmF,loc,231,51,BuyerB,aerhdgsdf,locB,28-Mar,pmB
ProductF,MfctD,SeRIeSNUmF,loc,232,11,BuyerD,ghstdjreras,locB,27-Jan,pmD
ProductF,MfctD,SeRIeSNUmF,loc,233,111,BuyerJ,asdavzxcz,loc,12-May,pm
ProductF,MfctD,SeRIeSNUmF,loc,234,241,BuyerK,zxzxczba,loc,11-Jan,pm
ProductF,MfctD,SeRIeSNUmF,loc,235,146,BuyerJ,asdavzxcz,loc,11-Mar,pm
ProductF,MfctD,SeRIeSNUmF,loc,236,713,BuyerK,zxzxczba,loc,11-Apr,pm
ProductF,MfctD,SeRIeSNUmF,loc,237,352,BuyerG,vdzhsfg,loc,12-Jan,pm
ProductF,MfctD,SeRIeSNUmF,loc,238,62,BuyerI,zxcvrgafs,loc,15-Feb,pm
ProductF,MfctD,SeRIeSNUmF,loc,239,623,BuyerG,vdzhsfg,loc,20-Jan,pm
ProductF,MfctD,SeRIeSNUmF,loc,240,575,BuyerI,zxcvrgafs,loc,13-Apr,pm
ProductF,MfctD,SeRIeSNUmF,loc,241,63,BuyerB,aerhdgsdf,locB,20-Apr,pmB
ProductF,MfctD,SeRIeSNUmF,loc,242,734,BuyerG,vdzhsfg,loc,30-Apr,pm
ProductF,MfctD,SeRIeSNUmF,loc,243,63,BuyerK,zxzxczba,loc,23-May,pm
ProductF,MfctD,SeRIeSNUmF,loc,244,682,BuyerK,zxzxczba,loc,23-Feb,pm
ProductF,MfctD,SeRIeSNUmF,loc,245,45,BuyerD,ghstdjreras,locB,23-Jan,pmD
ProductF,MfctD,SeRIeSNUmF,loc,246,53,BuyerK,zxzxczba,loc,10-Apr,pm
ProductF,MfctD,SeRIeSNUmF,loc,247,57,BuyerG,vdzhsfg,loc,19-Feb,pm
ProductF,MfctD,SeRIeSNUmF,loc,248,326,BuyerK,zxzxczba,loc,20-Apr,pm
ProductF,MfctD,SeRIeSNUmF,loc,249,578,BuyerI,zxcvrgafs,loc,28-Mar,pm
ProductF,MfctD,SeRIeSNUmF,loc,250,4,BuyerC,dsgdsfgswe,locB,27-Jan,pmC
ProductF,MfctD,SeRIeSNUmF,loc,251,232,BuyerK,zxzxczba,loc,12-May,pm
ProductF,MfctD,SeRIeSNUmF,loc,252,634,BuyerF,dfacxbn,loc,11-Jan,pm
ProductF,MfctD,SeRIeSNUmF,loc,253,68,BuyerI,zxcvrgafs,loc,11-Mar,pm
ProductF,MfctD,SeRIeSNUmF,loc,254,52,BuyerK,zxzxczba,loc,11-Apr,pm
ProductF,MfctD,SeRIeSNUmF,loc,255,834,BuyerK,zxzxczba,loc,12-Jan,pm
ProductF,MfctD,SeRIeSNUmF,loc,256,223,BuyerI,zxcvrgafs,loc,15-Feb,pm
ProductF,MfctD,SeRIeSNUmF,loc,257,542,BuyerD,ghstdjreras,locB,20-Jan,pmD
ProductF,MfctD,SeRIeSNUmF,loc,258,242,BuyerJ,asdavzxcz,loc,13-Apr,pm
ProductG,MfctE,SeRIeSNUmG,loc,259,22,BuyerJ,asdavzxcz,loc,20-Apr,pm
ProductG,MfctE,SeRIeSNUmG,loc,260,451,BuyerD,ghstdjreras,locA,30-Apr,pmD
ProductG,MfctE,SeRIeSNUmG,loc,261,115,BuyerE,szffgshwsgsf,loc,23-May,pmE
ProductG,MfctE,SeRIeSNUmG,loc,262,61,BuyerD,ghstdjreras,locA,23-Feb,pmD
ProductG,MfctE,SeRIeSNUmG,loc,263,73,BuyerE,szffgshwsgsf,loc,23-Jan,pmE
ProductG,MfctE,SeRIeSNUmG,loc,264,26,BuyerI,zxcvrgafs,loc,10-Apr,pm
ProductG,MfctE,SeRIeSNUmG,loc,265,22,BuyerF,dfacxbn,loc,19-Feb,pm
ProductH,MfctE,SeRIeSNUmH,loc,266,12,BuyerK,zxzxczba,loc,20-Apr,pm
ProductH,MfctE,SeRIeSNUmH,loc,267,1,BuyerK,zxzxczba,loc,28-Mar,pm
ProductH,MfctE,SeRIeSNUmH,loc,268,15,BuyerG,vdzhsfg,loc,27-Jan,pm
ProductH,MfctE,SeRIeSNUmH,loc,269,1,BuyerD,ghstdjreras,locA,06-Feb,pmD
ProductH,MfctE,SeRIeSNUmH,loc,270,662,BuyerF,dfacxbn,loc,23-May,pm
ProductH,MfctE,SeRIeSNUmH,loc,271,1,BuyerE,szffgshwsgsf,loc,22-Mar,pmE
ProductH,MfctE,SeRIeSNUmH,loc,272,624,BuyerI,zxcvrgafs,loc,12-May,pm
ProductH,MfctE,SeRIeSNUmH,loc,273,1,BuyerI,zxcvrgafs,loc,11-Jan,pm
ProductH,MfctE,SeRIeSNUmH,loc,274,26,BuyerB,aerhdgsdf,locB,11-Mar,pmB
ProductH,MfctE,SeRIeSNUmH,loc,275,64,BuyerK,zxzxczba,loc,11-Apr,pm
ProductH,MfctE,SeRIeSNUmH,loc,276,26,BuyerD,ghstdjreras,locA,12-Jan,pmD
ProductH,MfctE,SeRIeSNUmH,loc,277,35,BuyerD,ghstdjreras,locA,15-Feb,pmD
ProductH,MfctE,SeRIeSNUmH,loc,278,23,BuyerA,vxcasfd,locA,20-Jan,pmA
ProductH,MfctE,SeRIeSNUmH,loc,279,12,BuyerK,zxzxczba,loc,13-Apr,pm
ProductH,MfctE,SeRIeSNUmH,loc,280,6,BuyerG,vdzhsfg,loc,20-Apr,pm
ProductH,MfctE,SeRIeSNUmH,loc,281,7,BuyerK,zxzxczba,loc,30-Apr,pm
ProductH,MfctE,SeRIeSNUmH,loc,282,325,BuyerA,vxcasfd,locA,23-May,pmA
ProductH,MfctE,SeRIeSNUmH,loc,283,34,BuyerI,zxcvrgafs,loc,23-Feb,pm
ProductH,MfctE,SeRIeSNUmH,loc,284,12,BuyerG,vdzhsfg,loc,23-Jan,pm
ProductH,MfctE,SeRIeSNUmH,loc,285,78,BuyerG,vdzhsfg,loc,10-Apr,pm
ProductH,MfctE,SeRIeSNUmH,loc,286,125,BuyerF,dfacxbn,loc,19-Feb,pm
ProductH,MfctE,SeRIeSNUmH,loc,287,124,BuyerK,zxzxczba,loc,20-Apr,pm
ProductH,MfctE,SeRIeSNUmH,loc,288,6,BuyerC,dsgdsfgswe,locB,28-Mar,pmC
ProductH,MfctE,SeRIeSNUmH,loc,289,276,BuyerF,dfacxbn,loc,27-Jan,pm
ProductH,MfctE,SeRIeSNUmH,loc,290,9,BuyerD,ghstdjreras,locA,03-Feb,pmD
ProductH,MfctE,SeRIeSNUmH,loc,291,456,BuyerJ,asdavzxcz,loc,12-May,pm
ProductH,MfctE,SeRIeSNUmH,loc,292,25,BuyerI,zxcvrgafs,loc,11-Jan,pm
ProductH,MfctE,SeRIeSNUmH,loc,293,75,BuyerE,szffgshwsgsf,loc,11-Mar,pmE
ProductH,MfctE,SeRIeSNUmH,loc,294,6,BuyerG,vdzhsfg,loc,11-Apr,pm
ProductH,MfctE,SeRIeSNUmH,loc,295,3,BuyerF,dfacxbn,loc,12-Jan,pm
ProductH,MfctE,SeRIeSNUmH,loc,296,247,BuyerF,dfacxbn,loc,15-Feb,pm
ProductH,MfctE,SeRIeSNUmH,loc,297,24,BuyerA,vxcasfd,locB,20-Jan,pmA
ProductH,MfctE,SeRIeSNUmH,loc,298,75,BuyerD,ghstdjreras,locA,13-Apr,pmD
ProductH,MfctE,SeRIeSNUmH,loc,299,24,BuyerB,aerhdgsdf,locB,20-Apr,pmB
